id,model_short,model_id,source_file,experiment_id,timestamp,config_name,prompt_id,config_prompting,config_weighting,weight_factor,anon_model_code
17,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,bb65ccce-13d6-46cc-87a2-373cdfdbaf4b,2025-10-23T00:31:12.433991,Phi3_control,P5,False,False,1.5,M3
18,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,1421b498-bcb0-4ae7-a1fd-5d02292001da,2025-10-23T00:31:21.207044,Phi3_weighted,P5,False,True,1.5,M3
19,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,b19d9251-803c-46c6-a5fc-0768a8f068da,2025-10-23T00:31:26.489990,Phi3_prompted,P5,True,False,1.5,M3
20,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,4ca2535a-fbfe-4d79-b75c-a534604803b5,2025-10-23T00:31:32.534797,Phi3_weighted_prompted,P5,True,True,1.5,M3
21,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,6a9a814f-d0d3-4ba0-b321-4754b56b858f,2025-10-23T00:31:38.110836,Phi3_control,P6,False,False,1.5,M3
22,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,1ea0beda-9d76-41e5-b858-cb5961536bcb,2025-10-23T00:31:46.254139,Phi3_weighted,P6,False,True,1.5,M3
23,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,13940914-8ee7-44ff-8782-d5679e06571a,2025-10-23T00:31:50.153589,Phi3_prompted,P6,True,False,1.5,M3
24,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,9c70beeb-3e0e-43c7-a8a1-1e599b49e2e7,2025-10-23T00:31:53.960530,Phi3_weighted_prompted,P6,True,True,1.5,M3
25,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,24e6b561-c06f-4037-86ee-fbc2d5d2b8c4,2025-10-23T00:31:58.330662,Phi3_control,P7,False,False,1.5,M3
26,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,029e825d-2751-4e0c-a044-6b46c07d62e3,2025-10-23T00:32:02.512760,Phi3_weighted,P7,False,True,1.5,M3
27,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,f5b6aa0b-fecb-47d4-a78d-2af29ba2e0c7,2025-10-23T00:32:06.275969,Phi3_prompted,P7,True,False,1.5,M3
28,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,2b2d6411-e72d-4fb5-80e1-a780bd9a36bf,2025-10-23T00:32:09.227394,Phi3_weighted_prompted,P7,True,True,1.5,M3
29,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,447de085-74be-43f9-aa99-4121694f414c,2025-10-23T00:32:17.002061,Phi3_control,P8,False,False,1.5,M3
30,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,e2e81e9c-6588-4649-a3b0-5c6eff227f66,2025-10-23T00:32:26.795409,Phi3_weighted,P8,False,True,1.5,M3
31,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,cfd73c3a-11a1-41a4-8699-375f5b68eda8,2025-10-23T00:32:30.845257,Phi3_prompted,P8,True,False,1.5,M3
32,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,fdb90a61-af2e-41fd-89a6-82fdacbb39e0,2025-10-23T00:32:35.067193,Phi3_weighted_prompted,P8,True,True,1.5,M3
33,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,7f44de8d-10e3-41fc-bfee-828835e31339,2025-10-23T00:32:40.274235,Phi3_control,P9,False,False,1.5,M3
34,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,d58b3840-75fa-4204-bedf-973e26888254,2025-10-23T00:32:46.790197,Phi3_weighted,P9,False,True,1.5,M3
35,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,55d61bc5-866c-467f-ba06-be5d4ce4a161,2025-10-23T00:32:50.776352,Phi3_prompted,P9,True,False,1.5,M3
36,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,2722f646-9065-4ac5-b631-aff6ae9344a1,2025-10-23T00:32:53.582413,Phi3_weighted_prompted,P9,True,True,1.5,M3
37,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,37b4c5ee-5d66-4e32-9095-1af4f340f5bd,2025-10-23T00:32:57.984707,Phi3_control,P10,False,False,1.5,M3
38,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,3b4c5f25-15ed-4c8d-a82f-7c281a9f369b,2025-10-23T00:33:02.166164,Phi3_weighted,P10,False,True,1.5,M3
39,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,12c63f3e-342c-41d5-aa5a-4df6f50bc85e,2025-10-23T00:33:05.949564,Phi3_prompted,P10,True,False,1.5,M3
40,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,09d27991-cff6-4d50-97a2-48d623282d22,2025-10-23T00:33:08.648019,Phi3_weighted_prompted,P10,True,True,1.5,M3
41,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,e8d0ac54-3b26-4b91-8138-1a3d591e551b,2025-10-23T00:33:13.026583,Phi3_control,P11,False,False,1.5,M3
42,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,15c47f79-5929-49d8-b187-928206c62980,2025-10-23T00:33:17.607883,Phi3_weighted,P11,False,True,1.5,M3
43,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,9fc3399b-968d-470b-b256-2155e288a148,2025-10-23T00:33:20.023322,Phi3_prompted,P11,True,False,1.5,M3
44,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,4902f9e1-12cd-4972-9175-7788250150a0,2025-10-23T00:33:22.884933,Phi3_weighted_prompted,P11,True,True,1.5,M3
45,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,f0f77dbe-1025-46f1-96bd-3bcebb52fea9,2025-10-23T00:33:29.806261,Phi3_control,P12,False,False,1.5,M3
46,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,5df24d77-d82e-444a-a272-70982f5429dc,2025-10-23T00:33:33.901423,Phi3_weighted,P12,False,True,1.5,M3
47,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,dfe5057d-7577-48e6-8d4f-a6785bb17fb3,2025-10-23T00:33:36.740854,Phi3_prompted,P12,True,False,1.5,M3
48,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,aa06d0ea-378f-404d-aed9-6fe459331ba8,2025-10-23T00:33:39.168604,Phi3_weighted_prompted,P12,True,True,1.5,M3
49,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,7f9e2170-c3f1-4d29-be11-18eca7ffe707,2025-10-23T00:33:44.209880,Phi3_control,P13,False,False,1.5,M3
50,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,c7ed5017-d997-49f3-acf1-8c5e302c8b41,2025-10-23T00:33:48.060736,Phi3_weighted,P13,False,True,1.5,M3
51,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,b8eb746e-b384-4b37-b681-1cb76b8ead55,2025-10-23T00:33:51.753495,Phi3_prompted,P13,True,False,1.5,M3
52,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,60ade393-2d73-4b96-8d35-3e3b8cf3fbad,2025-10-23T00:33:55.686965,Phi3_weighted_prompted,P13,True,True,1.5,M3
53,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,aac67bc3-4194-48e6-9467-d34d1d6291f5,2025-10-23T00:33:59.437649,Phi3_control,P14,False,False,1.5,M3
54,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,a4796e7c-3ecc-45bd-93d0-0600ac79aba6,2025-10-23T00:34:04.595748,Phi3_weighted,P14,False,True,1.5,M3
55,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,5a2d18a5-98c1-4082-9796-09e4e8b19506,2025-10-23T00:34:08.663582,Phi3_prompted,P14,True,False,1.5,M3
56,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,70c86164-0433-4320-b1c2-a0166daff431,2025-10-23T00:34:11.280288,Phi3_weighted_prompted,P14,True,True,1.5,M3
57,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,4bbef150-4478-4f5f-8e1b-d55d1145fb30,2025-10-23T00:34:19.693213,Phi3_control,P15,False,False,1.5,M3
58,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,273a4198-18c5-42c4-9606-98333c943ce7,2025-10-23T00:34:27.067741,Phi3_weighted,P15,False,True,1.5,M3
59,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,7d92c26d-8db2-418e-ab6e-816692fdc3af,2025-10-23T00:34:31.217580,Phi3_prompted,P15,True,False,1.5,M3
60,Phi3,microsoft/Phi-3-mini-4k-instruct-gguf,src/evaluation/experiment_framework/results/Phi3/full_data/Phi3_full_experiment_full_1023_0034.csv,a447d73f-84ae-47fa-b491-06eb6af9625e,2025-10-23T00:34:33.788739,Phi3_weighted_prompted,P15,True,True,1.5,M3
61,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,ec5e2e74-d76a-4cd6-90d0-39f5c400e926,2025-10-23T00:24:58.768114,Qwen2_control,P1,False,False,1.5,M2
62,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,2eff315a-b214-4aab-b08a-7432f15ea038,2025-10-23T00:24:59.349512,Qwen2_weighted,P1,False,True,1.5,M2
63,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,9f031632-12f6-43e6-9b6b-c3cad6cd1512,2025-10-23T00:24:59.815616,Qwen2_prompted,P1,True,False,1.5,M2
64,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,0c1007d6-6a81-4323-b2a9-9f9da6600ce2,2025-10-23T00:25:00.505738,Qwen2_weighted_prompted,P1,True,True,1.5,M2
65,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,671d466e-3acb-4bf8-a493-a31af39edbcf,2025-10-23T00:25:01.181831,Qwen2_control,P2,False,False,1.5,M2
66,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,86e9e812-a576-44b8-8d34-bd32db729b12,2025-10-23T00:25:01.782254,Qwen2_weighted,P2,False,True,1.5,M2
67,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,c99e87a2-4b6b-4bfa-819e-3514477a8682,2025-10-23T00:25:02.980720,Qwen2_prompted,P2,True,False,1.5,M2
68,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,cc1bfb09-23a2-40be-a126-9dc0ea7b2265,2025-10-23T00:25:03.222938,Qwen2_weighted_prompted,P2,True,True,1.5,M2
69,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,cb3d1a7e-0fa6-458e-a940-6b4e18dfb73c,2025-10-23T00:25:03.910033,Qwen2_control,P3,False,False,1.5,M2
70,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,7c8ca456-0de3-4c9f-840f-fed2f09511db,2025-10-23T00:25:04.747380,Qwen2_weighted,P3,False,True,1.5,M2
71,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,7a3e2736-6889-45e7-ade0-fc5334a63d10,2025-10-23T00:25:05.128442,Qwen2_prompted,P3,True,False,1.5,M2
72,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,3a18f7bf-d193-4de0-9b78-c3c04cd720be,2025-10-23T00:25:05.817716,Qwen2_weighted_prompted,P3,True,True,1.5,M2
73,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,f3120628-9eac-4d25-ba5d-cc18a491f844,2025-10-23T00:25:06.244383,Qwen2_control,P4,False,False,1.5,M2
74,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,d6837ced-58a5-4d71-9bc9-042ace22c1f4,2025-10-23T00:25:07.056436,Qwen2_weighted,P4,False,True,1.5,M2
75,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,2901b7ed-a5c4-4229-b903-20edd6827bae,2025-10-23T00:25:07.736884,Qwen2_prompted,P4,True,False,1.5,M2
76,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,fe207875-3743-4c72-b6b9-ee84f4b9b346,2025-10-23T00:25:08.314717,Qwen2_weighted_prompted,P4,True,True,1.5,M2
77,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,b200c830-148d-4e98-a0a7-8227237bb455,2025-10-23T00:25:09.116927,Qwen2_control,P5,False,False,1.5,M2
78,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,be46917b-a6d0-440e-a4f0-c3f2b0f22d8e,2025-10-23T00:25:09.539244,Qwen2_weighted,P5,False,True,1.5,M2
79,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,12f31f2a-febc-47c6-8bce-e56350b9b402,2025-10-23T00:25:10.202778,Qwen2_prompted,P5,True,False,1.5,M2
80,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,a6cb70c2-a0d8-4c18-895f-e78df387b5d1,2025-10-23T00:25:10.624122,Qwen2_weighted_prompted,P5,True,True,1.5,M2
81,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,85f9fd63-917a-4f28-ae4d-de174cbb64b4,2025-10-23T00:25:10.915201,Qwen2_control,P6,False,False,1.5,M2
82,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,f3a33053-607b-4417-b7bc-7a7b4058b0f5,2025-10-23T00:25:11.741903,Qwen2_weighted,P6,False,True,1.5,M2
83,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,f46ec612-ead8-45df-83a1-3c3066df65bd,2025-10-23T00:25:12.925059,Qwen2_prompted,P6,True,False,1.5,M2
84,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,0c28830e-5088-4292-9191-6aacc9561955,2025-10-23T00:25:13.751792,Qwen2_weighted_prompted,P6,True,True,1.5,M2
85,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,ad9b04ff-a905-4a4d-b0a8-90aba3b84feb,2025-10-23T00:25:14.554370,Qwen2_control,P7,False,False,1.5,M2
86,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,f77ff6a0-3da8-4e4f-a8de-d44a5639f558,2025-10-23T00:25:15.488087,Qwen2_weighted,P7,False,True,1.5,M2
87,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,8061d0d6-c56c-4620-b3df-9fe5c7dbad21,2025-10-23T00:25:15.889481,Qwen2_prompted,P7,True,False,1.5,M2
88,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,2be01a01-473f-42ff-bafa-ea8bf40bdee1,2025-10-23T00:25:16.423158,Qwen2_weighted_prompted,P7,True,True,1.5,M2
89,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,64befb77-32da-4285-bc70-9875bfc85c5e,2025-10-23T00:25:17.181296,Qwen2_control,P8,False,False,1.5,M2
90,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,e19828ef-2081-4269-adff-6839155aa225,2025-10-23T00:25:18.468373,Qwen2_weighted,P8,False,True,1.5,M2
91,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,2b983a26-6625-4554-9b6d-f5bdd8a60d39,2025-10-23T00:25:19.582982,Qwen2_prompted,P8,True,False,1.5,M2
92,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,83b8dacf-7c8f-4399-84b6-842a3e3271ad,2025-10-23T00:25:21.106614,Qwen2_weighted_prompted,P8,True,True,1.5,M2
93,Qwen2,Qwen/Qwen2.5-0.5B-Instruct-GGUF,src/evaluation/experiment_framework/results/Qwen2/full_data/Qwen2_full_experiment_full_1023_0025.csv,bd0d7d27-1d4c-46e4-9ae8-2ddb548f87cb,2025-10-23T00:25:21.302678,Qwen2_control,P9,False,False,1.5,M2
